Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
The Running Man,1987,67,70975,,"In the year 2019, America is a totalitarian state where the favorite television program is ""The Running Man"" -- a...",Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto"
Code of Silence,1985,68,69010,No consensus yet.,"In Chicago, honor-driven Sgt. Eddie Cusack (Chuck Norris) and his team stake out a drug exchange involving notorious drug czar...",Andrew Davis,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese"
Shoot 'Em Up,2007,67,73104,As preposterous and over-the-top as,"After saving a newborn infant from assassins, carrot-crunching gunman Mr. Smith (Clive Owen) teams up with a prostitute named DQ...",Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Daniel Pilon"
Crank,2006,62,65629,,"Chev Chelios (Jason Statham), a hit man wanting to go straight, lets his latest target slip away, then he awakes...",Mark Neveldine,"Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez"
Machete,2010,70,77685,,"After nearly being killed during a violent fight with a powerful drug lord, a former Mexican Federale known as Machete...",Robert Rodriguez,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal"
Drive,2011,93,104205,"With its hyper-stylized blend of violence, music, and striking imagery,","Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior,...",Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks"
Batman,1989,76,89334,"An eerie, haunting spectacle,","Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne (Michael Keaton) fights crime in Gotham City...",Tim Burton,"Jack Nicholson, Michael Keaton, Kim Basinger, Robert Wuhl"
Under Siege,1992,80,82018,"A well-directed action thriller that makes the most of its confined setting,","A heroic loner takes on a group of nuclear terrorists in this seagoing tale. Posing as a rock band, the...",Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak"
Independence Day,1996,68,73410,"The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers.","In the epic adventure film ""Independence Day,"" strange phenomena surface around the globe. The skies ignite. Terror races through the...",Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell"
Bullitt,1968,98,103588,Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.,Senator Walter Chalmers (Robert Vaughn) is aiming to take down mob boss Pete Ross (Vic Tayback) with the help of...,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon"
Wanted,2008,71,79246,,"Wesley Gibson (James McAvoy) is an office worker whose life is going nowhere. After his estranged father is murdered, he...",Timur Bekmambetov,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp"
Superman: The Movie,1978,94,102239,,"Just before the destruction of the planet Krypton, scientist Jor-El (Marlon Brando) sends his infant son Kal-El on a spaceship...",Richard Donner,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder"
Ronin,1998,70,74036,,"Deirdre (Natascha McElhone) puts together a team of experts that she tasks with stealing a valuable briefcase, the contents of...",John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård"
They Live,1988,86,92432,"A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter.","Nada (Roddy Piper), a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world...",John Carpenter,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower"
Cliffhanger,1993,68,73062,"While it can't escape comparisons to the movies it borrows from,",Outdoor thriller in which a former mountain rescuer is pitted against a group of criminals who have lost their $100...,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner"
Marvel's the Avengers,2012,91,108896,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces,","When Thor's evil brother, Loki (Tom Hiddleston), gains access to the unlimited power of the energy cube called the Tesseract,...",Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
